Date,Total Value,Cash,Holdings Value
2024-04-29,153253338.888,4418549.888000011,148834789.0
2024-04-30,154161765.888,4418549.888000011,149743216.0
2024-05-02,154663195.888,4418549.888000011,150244646.0
2024-05-03,153274159.888,4418549.888000011,148855610.0
2024-05-07,155273403.888,4418549.888000011,150854854.0
2024-05-08,155047107.888,4418549.888000011,150628558.0
2024-05-09,152336174.888,4418549.888000011,147917625.0
2024-05-10,153473220.888,4418549.888000011,149054671.0
2024-05-13,154471258.888,5340149.888000011,149131109.0
2024-05-14,155401763.888,5340149.888000011,150061614.0
2024-05-16,156718479.888,5340149.888000011,151378330.0
2024-05-17,154857970.888,5340149.888000011,149517821.0
2024-05-20,155370293.888,5340149.888000011,150030144.0
2024-05-21,154232469.888,5340149.888000011,148892320.0
2024-05-22,156954289.888,5340149.888000011,151614140.0
2024-05-23,157058609.888,5340149.888000011,151718460.0
2024-05-24,154972225.888,5340149.888000011,149632076.0
2024-05-27,156883054.888,5340149.888000011,151542905.0
2024-05-28,155896780.888,5340149.888000011,150556631.0
2024-05-29,152459494.888,5340149.888000011,147119345.0
2024-05-30,148789806.888,5340149.888000011,143449657.0
2024-05-31,147713549.888,5340149.888000011,142373400.0
2024-06-03,151099147.888,5340149.888000011,145758998.0
2024-06-04,150787290.888,5340149.888000011,145447141.0
2024-06-05,153382877.888,5340149.888000011,148042728.0
2024-06-07,155751575.888,5340149.888000011,150411426.0
2024-06-10,155146668.888,6264449.888000011,148882219.0
2024-06-11,156266729.888,6264449.888000011,150002280.0
2024-06-12,156378808.888,6264449.888000011,150114359.0
2024-06-13,157430591.888,6264449.888000011,151166142.0
2024-06-14,156857271.888,6264449.888000011,150592822.0
2024-06-17,157410751.888,6264449.888000011,151146302.0
2024-06-18,159156940.888,6264449.888000011,152892491.0
2024-06-19,161520930.888,6264449.888000011,155256481.0
2024-06-20,161354431.888,6264449.888000011,155089982.0
2024-06-21,159246372.888,6264449.888000011,152981923.0
2024-06-24,157674234.888,6264449.888000011,151409785.0
2024-06-25,158108969.888,6264449.888000011,151844520.0
2024-06-26,159771041.888,6264449.888000011,153506592.0
2024-06-27,159676747.888,6264449.888000011,153412298.0
2024-06-28,158941744.888,6264449.888000011,152677295.0
2024-07-01,160089516.888,6264449.888000011,153825067.0
2024-07-02,157811008.888,6264449.888000011,151546559.0
2024-07-03,159852013.888,6264449.888000011,153587564.0
2024-07-04,160533230.888,6264449.888000011,154268781.0
2024-07-05,162778849.888,6264449.888000011,156514400.0
2024-07-08,163344155.888,7177049.888000011,156167106.0
2024-07-09,163221293.888,7177049.888000011,156044244.0
2024-07-10,163161217.888,7177049.888000011,155984168.0
2024-07-11,165735961.888,7177049.888000011,158558912.0
2024-07-12,163307390.888,7177049.888000011,156130341.0
2024-07-15,162003208.888,7177049.888000011,154826159.0
2024-07-16,161358153.888,7177049.888000011,154181104.0
2024-07-17,158825106.888,7177049.888000011,151648057.0
2024-07-18,157183763.888,7177049.888000011,150006714.0
2024-07-19,155744259.888,7177049.888000011,148567210.0
2024-07-22,153218950.888,7177049.888000011,146041901.0
2024-07-23,153914801.888,7177049.888000011,146737752.0
2024-07-24,153383330.888,7177049.888000011,146206281.0
2024-07-25,151246507.888,7177049.888000011,144069458.0
2024-07-26,150538383.888,7177049.888000011,143361334.0
2024-07-29,152938401.888,7177049.888000011,145761352.0
2024-07-30,151023671.888,7177049.888000011,143846622.0
2024-07-31,151371330.888,7177049.888000011,144194281.0
2024-08-01,152615569.888,7177049.888000011,145438520.0
2024-08-02,147590568.888,7177049.888000011,140413519.0
2024-08-05,135665883.888,7177049.888000011,128488834.0
2024-08-06,141409089.888,7177049.888000011,134232040.0
2024-08-07,142585653.888,7177049.888000011,135408604.0
2024-08-08,140860427.888,7177049.888000011,133683378.0
2024-08-09,143055611.888,7177049.888000011,135878562.0
2024-08-12,145167123.888,8101549.888000011,137065574.0
2024-08-13,145192005.888,8101549.888000011,137090456.0
2024-08-14,146581555.888,8101549.888000011,138480006.0
2024-08-16,149920311.888,8101549.888000011,141818762.0
2024-08-19,147482228.888,8101549.888000011,139380679.0
2024-08-20,148039992.888,8101549.888000011,139938443.0
2024-08-21,149273314.888,8101549.888000011,141171765.0
